Episode,"Episode URL","Media URL","Release Date",Downloads,Date,"Average Downloads of Last 50 Episodes","Compare to Average"
"The Rapture Pt. 3 | Eschatology: The Rapture",https://broJacobcedargrovebaptist.podbean.com/e/the-rapture-pt-3-eschatology-the-rapture/,https://mcdn.podbean.com/mf/web/gnz7sthiniv3cnvc/408_W_Audioabqf1.mp3,2026-04-09,17,"day1 - day7",7,142.86%
"Romans 12:1-2, The Impact of the Gospel Pt. 1 | Romans Chapter 12",https://broJacobcedargrovebaptist.podbean.com/e/romans-121-2-the-impact-of-the-gospel-pt-1-romans-chapter-12/,https://mcdn.podbean.com/mf/web/cehkc42vzrq4e7dg/01_Romans_12_1-2_The_Impact_of_the_Gospel_Pt_18f2z6.mp3,2026-04-05,25,"day1 - day7",7,257.14%
"Romans 11: 30-36, How Unsearchable! Pt. 8 | Romans Chapter 11",https://broJacobcedargrovebaptist.podbean.com/e/romans-11-30-36-how-unsearchable-pt-8-romans-chapter-11/,https://mcdn.podbean.com/mf/web/3acf5qtqdvbuniau/08_Romans_11_30-36_How_Unsearchable_Pt_8aerr4.mp3,2026-03-29,13,"day1 - day7",7,85.71%
"The Rapture Pt. 2 |  Eschatology: The Rapture",https://broJacobcedargrovebaptist.podbean.com/e/eschatology-the-rapture-pt-2-the-rapture/,https://mcdn.podbean.com/mf/web/wfbqciwxvk6wigts/02_The_Rapture_Pt_29huhz.mp3,2026-03-26,21,"day1 - day7",7,200%
"Romans 11: 25-29, How Unsearchable! Pt. 7 | Romans Chapter 11",https://broJacobcedargrovebaptist.podbean.com/e/romans-11-25-29-how-unsearchable-pt-7-romans-chapter-11/,https://mcdn.podbean.com/mf/web/knutdgfwiqt7rh65/07_Romans_11_25-29_How_Unsearchable_Pt_768h04.mp3,2026-03-22,10,"day1 - day7",7,42.86%
"Romans 11: 22-24, A Necessary Clarification Pt. 6 | Romans Chapter 11",https://broJacobcedargrovebaptist.podbean.com/e/romans-11-22-24-a-necessary-clarification-pt-6-romans-chapter-11/,https://mcdn.podbean.com/mf/web/gmd44ikr6uq967w2/06_Romans_11_22-24_A_Necessary_Clarification_Pt_6ac79i.mp3,2026-03-15,9,"day1 - day7",7,28.57%
"Romans 11: 22-24, A Necessary Clarification Pt. 5 | Romans Chapter 11",https://broJacobcedargrovebaptist.podbean.com/e/romans-11-22-24-a-necessary-clarification-pt-5-romans-chapter-11/,https://mcdn.podbean.com/mf/web/5f36xb9wmaimhhxp/05_Romans_11_22-24_A_Necessary_Clarification_Pt_571zu9.mp3,2026-03-08,0,"day1 - day7",7,-100%
"Romans 11:19-24, How Unsearchable Pt. 4 | Romans Chapter 11",https://broJacobcedargrovebaptist.podbean.com/e/romans-1119-24-how-unsearchable-pt-4-romans-chapter-11/,https://mcdn.podbean.com/mf/web/utsix8yhngtmpwfy/04_Romans_11_19-21_How_Unsearchable_Pt_46wae8.mp3,2026-03-01,7,"day1 - day7",7,0%
"Romans 11:16-18, How Unsearchable Pt. 3 | Romans Chapter 11",https://broJacobcedargrovebaptist.podbean.com/e/asdfasefd/,https://mcdn.podbean.com/mf/web/8bu8yypw2pqmuais/03_Romans_11_16-18_How_Unsearchable_Pt_39xc2y.mp3,2026-02-22,8,"day1 - day7",7,14.29%
"Romans 11:11-15, How Unsearchable Pt. 2 | Romans Chapter 11",https://broJacobcedargrovebaptist.podbean.com/e/romans-1111-15-how-unsearchable-pt-2-romans-chapter-11/,https://mcdn.podbean.com/mf/web/wx4ccstesqdabtxw/02_Romans_11_11-15_How_Unsearchable_Pt_26o2w8.mp3,2026-02-15,7,"day1 - day7",7,0%
"Romans 11:1-10, How Unsearchable Pt. 1 | Romans Chapter 11",https://broJacobcedargrovebaptist.podbean.com/e/romans-111-10-how-unsearchable-pt-1-romans-chapter-11/,https://mcdn.podbean.com/mf/web/6hb96gcy7x2n3qii/01_Romans_11_1-10_How_Unsearchable_Pt_18rh74.mp3,2026-02-08,6,"day1 - day7",7,-14.29%
"Romans 10:16-21, Have You Heard? Pt. 4 | Romans Chapter 10",https://broJacobcedargrovebaptist.podbean.com/e/romans-1016-21-have-you-heard-pt-4-romans-chapter-10/,https://mcdn.podbean.com/mf/web/xh5jawzpi76v6qva/04_Romans_10_16-21_Have_You_Heard_Pt_464b2b.mp3,2026-02-01,3,"day1 - day7",7,-57.14%
"Amen! Amen! | 2026 Specials",https://broJacobcedargrovebaptist.podbean.com/e/amen-amen-2026-specials/,https://mcdn.podbean.com/mf/web/pphuxssttwwxabw9/01_Amen_Amen_7wkav.mp3,2026-01-18,6,"day1 - day7",7,-14.29%
"Romans 10:14-15, Have You Heard? Pt. 3 | Romans Chapter 10",https://broJacobcedargrovebaptist.podbean.com/e/romans-1014-15-have-you-heard-pt-3-romans-chapter-10/,https://mcdn.podbean.com/mf/web/k2fwh7s3rc4fccqd/03_Romans_10_14-15_Have_You_Heard_Part_37jeoe.mp3,2026-01-11,2,"day1 - day7",7,-71.43%
"Fast-Tracked Calvary | 2025 Specials",https://broJacobcedargrovebaptist.podbean.com/e/title-fast-tracked-calvary-2025-specials/,https://mcdn.podbean.com/mf/web/embnwyfa66gt4urm/4136rbsl.mp3,2025-04-13,0,"day1 - day7",7,-100%
"Romans 10:5-13, Have You Heard? Pt. 2 | Romans Chapter 10",https://broJacobcedargrovebaptist.podbean.com/e/romans-105-13-have-you-heard-pt-2-romans-chapter-10/,https://mcdn.podbean.com/mf/web/v234yz6x5g9dibty/01_Romans_10_5-13_Have_You_Heard_Pt_2mp3_13-37-36-444b7l9i.mp3,2026-01-04,9,"day1 - day7",7,28.57%
"Romans 10:1-4, Have You Heard? Pt. 1 | Romans Chapter 10",https://broJacobcedargrovebaptist.podbean.com/e/romans-101-4-have-you-heard-romans-chapter-10/,https://mcdn.podbean.com/mf/web/bqmxszttqxbwic33/01_Romans_10_1-4_Have_You_Heard_8959m.mp3,2025-12-28,3,"day1 - day7",7,-57.14%
